cust_id,similar_customers
C0001,"[('C0137', 0.9878119376724235), ('C0107', 0.964768714080093), ('C0152', 0.9551239997024604)]"
C0002,"[('C0142', 0.9758701741540833), ('C0043', 0.9613153442023219), ('C0088', 0.9232293632435553)]"
C0003,"[('C0133', 0.9143512854285679), ('C0052', 0.8498829385978036), ('C0129', 0.8060397339512491)]"
C0004,"[('C0113', 0.9818710252047286), ('C0102', 0.961115240485386), ('C0104', 0.9504906433985065)]"
C0005,"[('C0159', 0.9970259363453577), ('C0123', 0.9872837492684559), ('C0186', 0.9818948667665109)]"
C0006,"[('C0168', 0.976869968274722), ('C0158', 0.9251068912721511), ('C0187', 0.8987293561623265)]"
C0007,"[('C0140', 0.9848152997728554), ('C0080', 0.9639990308204381), ('C0078', 0.9616962106325764)]"
C0008,"[('C0139', 0.9383954432017959), ('C0194', 0.9300399067822013), ('C0098', 0.9269750230839731)]"
C0009,"[('C0060', 0.973106330645127), ('C0014', 0.9576539063707896), ('C0198', 0.9535317300611847)]"
C0010,"[('C0199', 0.9511234745374214), ('C0121', 0.9507453752074679), ('C0166', 0.9112687611147309)]"
C0011,"[('C0048', 0.9826823579820155), ('C0107', 0.9823784571529152), ('C0001', 0.9204001071234233)]"
C0012,"[('C0102', 0.9839216592619326), ('C0153', 0.961652910581674), ('C0155', 0.9608309748184721)]"
C0013,"[('C0099', 0.9857810502688188), ('C0188', 0.9848231077377383), ('C0155', 0.982771526704865)]"
C0014,"[('C0198', 0.9908268024742543), ('C0060', 0.9801964966361348), ('C0062', 0.96072299829089)]"
C0015,"[('C0131', 0.9851931414035702), ('C0058', 0.9843272700457149), ('C0036', 0.9821068840564027)]"
C0016,"[('C0183', 0.9615283235301834), ('C0026', 0.7911208539619673), ('C0125', 0.7822321232512838)]"
C0017,"[('C0124', 0.988377244156126), ('C0075', 0.9748486946775832), ('C0109', 0.9025185169963131)]"
C0018,"[('C0079', 0.7827203338442656), ('C0114', 0.7674694575377822), ('C0117', 0.7662617810147051)]"
C0019,"[('C0172', 0.9966505400586566), ('C0127', 0.9025362669895646), ('C0119', 0.8940773619872531)]"
C0020,"[('C0042', 0.9642164714616523), ('C0144', 0.9272321371882459), ('C0078', 0.9238204582320978)]"
